Transaction ID,Date,Time,Customer ID,Gender,Age,Product Category,Product Name,Quantity,Price per Unit ($),Total Amount ($)
1,2025-11-24,3:12 PM,CUST001,Male,34,Appliances,Dyson V15 Detect Vacuum,2,749,1498
2,2025-02-27,5:14 PM,CUST002,Female,26,Gaming,PlayStation 5 Controller,2,69,138
3,2025-01-13,1:48 PM,CUST003,Male,50,Computers & Accessories,Logitech MX Master 3 Mouse,1,99,99
4,2025-05-21,11:46 AM,CUST004,Male,37,Tablets,iPad Air M1,1,749,749
5,2025-05-06,3:43 PM,CUST005,Male,30,Appliances,Dyson V15 Detect Vacuum,2,749,1498
6,2025-04-25,6:05 PM,CUST006,Female,45,Appliances,Vitamix E310 Blender,1,349,349
7,2025-03-13,8:31 PM,CUST007,Male,46,Smart Home,Ring Video Doorbell Pro 2,2,249,498
8,2025-02-22,1:46 PM,CUST008,Male,30,Appliances,Dyson V15 Detect Vacuum,2,749,1498
9,2025-12-13,5:13 PM,CUST009,Male,63,Smartphones,iPhone 15,2,999,1998
10,2025-10-07,7:50 PM,CUST010,Female,52,Computers & Accessories,Logitech MX Master 3 Mouse,4,99,396
11,2025-02-14,3:24 PM,CUST011,Male,23,Smart Home,Philips Hue Starter Kit,2,199,398
12,2025-10-30,7:13 PM,CUST012,Male,35,Computers & Accessories,Seagate 4TB External HDD,3,99,297
13,2025-08-05,12:42 PM,CUST013,Male,22,Laptops,Microsoft Surface Pro 9,2,1399,2798
14,2025-01-17,1:36 PM,CUST014,Male,64,Smart Home,Arlo Pro 4 Security Camera,4,199,796
15,2025-01-16,2:45 PM,CUST015,Female,42,Gaming,Razer BlackShark V2 Headset,4,99,396
16,2025-02-17,4:49 PM,CUST016,Male,19,Tablets,Microsoft Surface Go 3,3,399,1197
17,2025-04-22,11:20 AM,CUST017,Female,27,Smart Home,Amazon Echo Show 10,3,249,747
18,2025-04-30,3:17 PM,CUST018,Female,47,Audio,AirPods Pro 2nd Gen,2,249,498
19,2025-09-16,5:27 PM,CUST019,Female,62,Smart Home,Google Nest Hub Max,2,229,458
20,2025-11-05,1:59 PM,CUST020,Male,22,Smart Home,Amazon Echo Show 10,3,249,747
21,2025-01-14,4:29 PM,CUST021,Female,50,Cameras,Canon EOS R50,1,699,699
22,2025-10-15,4:12 PM,CUST022,Male,18,Audio,Sony WH-1000XM5 Headphones,2,349,698
23,2025-04-12,5:03 PM,CUST023,Female,35,Computers & Accessories,Samsung T7 Portable SSD 1TB,4,89,356
24,2025-11-29,2:13 PM,CUST024,Female,49,Gaming,Nintendo Switch OLED,1,349,349
25,2025-12-26,8:45 PM,CUST025,Female,64,Smart Home,Philips Hue Starter Kit,1,199,199
26,2025-10-07,12:50 PM,CUST026,Female,28,TVs,"Samsung 65"" QLED 4K TV",2,1299,2598
27,2025-08-03,4:59 PM,CUST027,Female,38,Appliances,Keurig K-Elite Coffee Maker,2,149,298
28,2025-04-23,9:32 PM,CUST028,Female,43,Tablets,"iPad Pro 12.9""",1,1099,1099
29,2025-08-18,6:02 PM,CUST029,Female,42,Appliances,Dyson V15 Detect Vacuum,1,749,749
30,2025-10-29,12:10 PM,CUST030,Female,39,Tablets,Samsung Galaxy Tab S9,2,799,1598
31,2025-05-23,4:52 PM,CUST031,Male,44,Tablets,iPad 10th Gen,3,449,1347
32,2025-01-04,3:59 PM,CUST032,Male,30,Smart Home,Philips Hue Starter Kit,3,199,597
33,2025-03-23,3:05 PM,CUST033,Female,50,Smart Home,Arlo Pro 4 Security Camera,2,199,398
34,2025-12-24,12:39 PM,CUST034,Female,51,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",3,399,1197
35,2025-08-05,10:21 AM,CUST035,Female,58,Tablets,iPad Air M1,2,749,1498
36,2025-06-24,12:25 PM,CUST036,Male,52,Audio,Sony WH-1000XM5 Headphones,3,349,1047
37,2025-05-23,1:50 PM,CUST037,Female,18,Computers & Accessories,"LG 27"" UltraGear Gaming Monitor",3,399,1197
38,2025-03-21,9:40 PM,CUST038,Male,38,Smart Home,Amazon Echo Show 10,3,249,747
39,2025-04-21,1:16 PM,CUST039,Male,23,Audio,JBL Charge 5 Speaker,4,149,596
40,2025-06-22,5:52 PM,CUST040,Male,45,Smart Home,Nest Learning Thermostat,1,249,249
41,2025-02-22,6:22 PM,CUST041,Male,34,Audio,Bose QuietComfort 45,2,279,558
42,2025-02-17,8:30 PM,CUST042,Male,22,Tablets,Amazon Fire HD 10,3,149,447
43,2025-07-14,8:08 PM,CUST043,Female,48,Smart Home,Arlo Pro 4 Security Camera,1,199,199
44,2025-02-19,6:45 PM,CUST044,Female,22,Smart Home,Arlo Pro 4 Security Camera,1,199,199
45,2025-07-03,5:47 PM,CUST045,Female,55,Audio,Sonos Era 300,1,449,449
46,2025-06-26,12:26 PM,CUST046,Female,20,Tablets,iPad Air M1,2,749,1498
47,2025-11-06,12:07 PM,CUST047,Female,40,Tablets,Amazon Fire HD 10,3,149,447
48,2025-05-16,12:11 PM,CUST048,Male,54,Laptops,"MacBook Pro 14""",2,1999,3998
49,2025-01-23,9:26 PM,CUST049,Female,54,Cameras,Fujifilm X-T5,2,1699,3398
